Date,Product,Sales,Inventory,Price
2025-11-03,Alpha Headphones,69,485,79.0
2025-11-04,Alpha Headphones,75,410,79.0
2025-11-05,Alpha Headphones,83,327,79.0
2025-11-06,Alpha Headphones,82,245,79.0
2025-11-07,Alpha Headphones,90,155,79.0
2025-11-08,Alpha Headphones,109,46,79.0
2025-11-09,Alpha Headphones,84,0,79.0
2025-11-10,Alpha Headphones,85,486,79.0
2025-11-11,Alpha Headphones,82,404,79.0
2025-11-12,Alpha Headphones,83,321,79.0
2025-11-13,Alpha Headphones,78,243,79.0
2025-11-14,Alpha Headphones,98,145,79.0
2025-11-15,Alpha Headphones,108,37,79.0
2025-11-16,Alpha Headphones,87,0,79.0
2025-11-17,Alpha Headphones,86,486,79.0
2025-11-18,Alpha Headphones,82,404,79.0
2025-11-19,Alpha Headphones,82,322,79.0
2025-11-20,Alpha Headphones,89,233,79.0
2025-11-21,Alpha Headphones,101,132,79.0
2025-11-22,Alpha Headphones,125,7,79.0
2025-11-23,Alpha Headphones,83,0,79.0
2025-11-24,Alpha Headphones,68,487,79.0
2025-11-25,Alpha Headphones,76,411,79.0
2025-11-26,Alpha Headphones,77,334,79.0
2025-11-27,Alpha Headphones,79,255,79.0
2025-11-28,Alpha Headphones,103,152,79.0
2025-11-29,Alpha Headphones,128,24,79.0
2025-11-30,Alpha Headphones,85,0,79.0
2025-12-01,Alpha Headphones,80,488,79.0
2025-12-02,Alpha Headphones,78,410,79.0
2025-12-03,Alpha Headphones,89,321,79.0
2025-12-04,Alpha Headphones,85,236,79.0
2025-12-05,Alpha Headphones,88,148,79.0
2025-12-06,Alpha Headphones,111,37,79.0
2025-12-07,Alpha Headphones,91,0,79.0
2025-12-08,Alpha Headphones,73,489,79.0
2025-12-09,Alpha Headphones,81,408,79.0
2025-12-10,Alpha Headphones,89,319,79.0
2025-12-11,Alpha Headphones,83,236,79.0
2025-12-12,Alpha Headphones,87,149,79.0
2025-12-13,Alpha Headphones,132,17,79.0
2025-12-14,Alpha Headphones,90,0,79.0
2025-12-15,Alpha Headphones,70,489,79.0
2025-12-16,Alpha Headphones,71,418,79.0
2025-12-17,Alpha Headphones,74,344,79.0
2025-12-18,Alpha Headphones,88,256,79.0
2025-12-19,Alpha Headphones,100,156,79.0
2025-12-20,Alpha Headphones,116,40,79.0
2025-12-21,Alpha Headphones,80,0,79.0
2025-12-22,Alpha Headphones,75,490,79.0
2025-12-23,Alpha Headphones,90,400,79.0
2025-12-24,Alpha Headphones,82,318,79.0
2025-12-25,Alpha Headphones,96,222,79.0
2025-12-26,Alpha Headphones,102,120,79.0
2025-12-27,Alpha Headphones,105,15,79.0
2025-12-28,Alpha Headphones,95,0,79.0
2025-12-29,Alpha Headphones,81,491,79.0
2025-12-30,Alpha Headphones,81,410,79.0
2025-12-31,Alpha Headphones,77,333,79.0
2026-01-01,Alpha Headphones,89,244,79.0
2026-01-02,Alpha Headphones,85,159,79.0
2026-01-03,Alpha Headphones,117,42,79.0
2026-01-04,Alpha Headphones,89,0,79.0
2026-01-05,Alpha Headphones,86,491,79.0
2026-01-06,Alpha Headphones,88,403,79.0
2026-01-07,Alpha Headphones,77,326,79.0
2026-01-08,Alpha Headphones,86,240,79.0
2026-01-09,Alpha Headphones,87,153,79.0
2026-01-10,Alpha Headphones,131,22,79.0
2026-01-11,Alpha Headphones,98,0,79.0
2026-01-12,Alpha Headphones,74,492,79.0
2026-01-13,Alpha Headphones,83,409,79.0
2026-01-14,Alpha Headphones,84,325,79.0
2026-01-15,Alpha Headphones,300,25,79.0
2026-01-16,Alpha Headphones,100,0,79.0
2026-01-17,Alpha Headphones,120,0,79.0
2026-01-18,Alpha Headphones,96,0,79.0
2026-01-19,Alpha Headphones,79,493,79.0
2026-01-20,Alpha Headphones,71,422,79.0
2026-01-21,Alpha Headphones,79,343,79.0
2026-01-22,Alpha Headphones,76,267,79.0
2026-01-23,Alpha Headphones,104,163,79.0
2026-01-24,Alpha Headphones,130,33,79.0
2026-01-25,Alpha Headphones,98,0,79.0
2026-01-26,Alpha Headphones,75,494,79.0
2026-01-27,Alpha Headphones,72,422,79.0
2026-01-28,Alpha Headphones,90,332,79.0
2026-01-29,Alpha Headphones,96,236,79.0
2026-01-30,Alpha Headphones,85,151,79.0
2026-01-31,Alpha Headphones,119,32,79.0
2026-02-01,Alpha Headphones,81,0,79.0
2026-02-02,Alpha Headphones,83,494,79.0
2026-02-03,Alpha Headphones,86,408,79.0
2026-02-04,Alpha Headphones,75,333,79.0
2026-02-05,Alpha Headphones,86,247,79.0
2026-02-06,Alpha Headphones,96,151,79.0
2026-02-07,Alpha Headphones,113,38,79.0
2026-02-08,Alpha Headphones,99,0,79.0
2026-02-09,Alpha Headphones,77,495,79.0
2026-02-10,Alpha Headphones,75,420,79.0
2026-02-11,Alpha Headphones,83,337,79.0
2026-02-12,Alpha Headphones,91,246,79.0
2026-02-13,Alpha Headphones,88,158,79.0
2026-02-14,Alpha Headphones,114,44,79.0
2026-02-15,Alpha Headphones,102,0,79.0
2026-02-16,Alpha Headphones,81,496,79.0
2026-02-17,Alpha Headphones,80,416,79.0
2026-02-18,Alpha Headphones,83,333,79.0
2026-02-19,Alpha Headphones,79,254,79.0
2026-02-20,Alpha Headphones,89,165,79.0
2026-02-21,Alpha Headphones,115,50,79.0
2026-02-22,Alpha Headphones,93,0,79.0
2026-02-23,Alpha Headphones,74,497,79.0
2026-02-24,Alpha Headphones,76,421,79.0
2026-02-25,Alpha Headphones,74,347,79.0
2026-02-26,Alpha Headphones,90,257,79.0
2026-02-27,Alpha Headphones,89,168,79.0
2026-02-28,Alpha Headphones,132,36,79.0
2026-03-01,Alpha Headphones,99,0,79.0
2026-03-02,Alpha Headphones,71,497,79.0
2026-03-03,Alpha Headphones,76,421,79.0
2026-03-04,Alpha Headphones,86,335,79.0
2026-03-05,Alpha Headphones,81,254,79.0
2026-03-06,Alpha Headphones,87,167,79.0
2026-03-07,Alpha Headphones,133,34,79.0
2026-03-08,Alpha Headphones,93,0,79.0
2026-03-09,Alpha Headphones,78,498,79.0
2026-03-10,Alpha Headphones,87,411,79.0
2026-03-11,Alpha Headphones,89,322,79.0
2026-03-12,Alpha Headphones,81,241,79.0
2026-03-13,Alpha Headphones,86,155,79.0
2026-03-14,Alpha Headphones,119,36,79.0
2026-03-15,Alpha Headphones,90,0,79.0
2026-03-16,Alpha Headphones,78,499,79.0
2026-03-17,Alpha Headphones,86,413,79.0
2026-03-18,Alpha Headphones,87,326,79.0
2026-03-19,Alpha Headphones,98,228,79.0
2026-03-20,Alpha Headphones,86,142,79.0
2026-03-21,Alpha Headphones,118,24,79.0
2026-03-22,Alpha Headphones,88,0,79.0
2026-03-23,Alpha Headphones,86,500,79.0
2026-03-24,Alpha Headphones,77,423,79.0
2026-03-25,Alpha Headphones,77,346,79.0
2026-03-26,Alpha Headphones,86,260,79.0
2026-03-27,Alpha Headphones,94,166,79.0
2026-03-28,Alpha Headphones,114,52,79.0
2026-03-29,Alpha Headphones,86,0,79.0
2026-03-30,Alpha Headphones,87,500,79.0
2026-03-31,Alpha Headphones,81,419,79.0
2026-04-01,Alpha Headphones,91,328,79.0
2026-04-02,Alpha Headphones,89,239,79.0
2026-04-03,Alpha Headphones,86,153,79.0
2026-04-04,Alpha Headphones,136,17,79.0
2026-04-05,Alpha Headphones,99,0,79.0
2026-04-06,Alpha Headphones,88,501,79.0
2026-04-07,Alpha Headphones,90,411,79.0
2026-04-08,Alpha Headphones,91,320,79.0
2026-04-09,Alpha Headphones,81,239,79.0
2026-04-10,Alpha Headphones,96,143,79.0
2026-04-11,Alpha Headphones,113,30,79.0
2026-04-12,Alpha Headphones,90,0,79.0
2026-04-13,Alpha Headphones,71,502,79.0
2026-04-14,Alpha Headphones,80,422,79.0
2026-04-15,Alpha Headphones,93,329,79.0
2026-04-16,Alpha Headphones,83,246,79.0
2026-04-17,Alpha Headphones,103,143,79.0
2026-04-18,Alpha Headphones,120,23,79.0
2026-04-19,Alpha Headphones,90,0,79.0
2026-04-20,Alpha Headphones,88,503,79.0
2026-04-21,Alpha Headphones,92,411,79.0
2026-04-22,Alpha Headphones,85,326,79.0
2026-04-23,Alpha Headphones,93,233,79.0
2026-04-24,Alpha Headphones,88,145,79.0
2026-04-25,Alpha Headphones,116,29,79.0
2026-04-26,Alpha Headphones,103,0,79.0
2026-04-27,Alpha Headphones,81,503,79.0
2026-04-28,Alpha Headphones,83,420,79.0
2026-04-29,Alpha Headphones,89,331,79.0
2026-04-30,Alpha Headphones,79,252,79.0
2026-05-01,Alpha Headphones,98,154,79.0
2026-05-02,Alpha Headphones,122,32,79.0
2026-05-03,Alpha Headphones,100,0,79.0
2026-05-04,Alpha Headphones,73,504,79.0
2026-05-05,Alpha Headphones,91,413,79.0
2026-05-06,Alpha Headphones,76,337,79.0
2026-05-07,Alpha Headphones,82,255,79.0
2026-05-08,Alpha Headphones,99,156,79.0
2026-05-09,Alpha Headphones,127,29,79.0
2026-05-10,Alpha Headphones,87,0,79.0
2026-05-11,Alpha Headphones,73,505,79.0
2026-05-12,Alpha Headphones,90,415,79.0
2026-05-13,Alpha Headphones,79,336,79.0
2026-05-14,Alpha Headphones,90,246,79.0
2026-05-15,Alpha Headphones,100,146,79.0
2026-05-16,Alpha Headphones,120,26,79.0
2026-05-17,Alpha Headphones,95,0,79.0
2026-05-18,Alpha Headphones,80,505,79.0
2026-05-19,Alpha Headphones,91,414,79.0
2026-05-20,Alpha Headphones,78,336,79.0
2026-05-21,Alpha Headphones,93,243,79.0
2026-05-22,Alpha Headphones,91,152,79.0
2026-05-23,Alpha Headphones,119,33,79.0
2026-05-24,Alpha Headphones,97,0,79.0
2026-05-25,Alpha Headphones,76,506,79.0
2026-05-26,Alpha Headphones,79,427,79.0
2026-05-27,Alpha Headphones,90,337,79.0
2026-05-28,Alpha Headphones,80,257,79.0
2026-05-29,Alpha Headphones,96,161,79.0
2026-05-30,Alpha Headphones,137,24,79.0
2026-05-31,Alpha Headphones,104,0,79.0
2026-06-01,Alpha Headphones,72,507,79.0
2026-06-02,Alpha Headphones,77,430,79.0
2026-06-03,Alpha Headphones,80,350,79.0
2026-06-04,Alpha Headphones,98,252,79.0
2026-06-05,Alpha Headphones,106,146,79.0
2026-06-06,Alpha Headphones,134,12,79.0
2026-06-07,Alpha Headphones,90,0,79.0
2026-06-08,Alpha Headphones,74,508,79.0
2026-06-09,Alpha Headphones,90,418,79.0
2026-06-10,Alpha Headphones,89,329,79.0
2026-06-11,Alpha Headphones,91,238,79.0
2026-06-12,Alpha Headphones,109,129,79.0
2026-06-13,Alpha Headphones,127,2,79.0
2026-06-14,Alpha Headphones,82,0,79.0
2026-06-15,Alpha Headphones,87,508,79.0
2026-06-16,Alpha Headphones,79,429,79.0
2026-06-17,Alpha Headphones,88,341,79.0
2026-06-18,Alpha Headphones,98,243,79.0
2026-06-19,Alpha Headphones,89,154,79.0
2026-06-20,Alpha Headphones,17,137,79.0
2026-06-21,Alpha Headphones,85,52,79.0
2026-06-22,Alpha Headphones,82,509,79.0
2026-06-23,Alpha Headphones,79,430,79.0
2026-06-24,Alpha Headphones,87,343,79.0
2026-06-25,Alpha Headphones,94,249,79.0
2026-06-26,Alpha Headphones,91,158,79.0
2026-06-27,Alpha Headphones,127,31,79.0
2026-06-28,Alpha Headphones,88,0,79.0
2026-06-29,Alpha Headphones,81,510,79.0
2026-06-30,Alpha Headphones,91,419,79.0
2026-07-01,Alpha Headphones,92,327,79.0
2026-07-02,Alpha Headphones,81,246,79.0
2026-07-03,Alpha Headphones,96,150,79.0
2026-07-04,Alpha Headphones,117,33,79.0
2026-07-05,Alpha Headphones,82,0,79.0
2026-07-06,Alpha Headphones,86,511,79.0
2026-07-07,Alpha Headphones,86,425,79.0
2026-07-08,Alpha Headphones,80,345,79.0
2026-07-09,Alpha Headphones,95,250,79.0
2026-07-10,Alpha Headphones,99,151,79.0
2026-07-11,Alpha Headphones,121,30,79.0
2026-07-12,Alpha Headphones,83,0,79.0
2026-07-13,Alpha Headphones,73,511,79.0
2026-07-14,Alpha Headphones,91,420,79.0
2026-07-15,Alpha Headphones,94,326,79.0
2026-07-16,Alpha Headphones,91,235,79.0
2026-07-17,Alpha Headphones,106,129,79.0
2026-07-18,Alpha Headphones,126,3,79.0
2026-07-19,Alpha Headphones,86,0,79.0
2026-07-20,Alpha Headphones,74,512,79.0
2026-07-21,Alpha Headphones,80,432,79.0
2026-07-22,Alpha Headphones,94,338,79.0
2026-07-23,Alpha Headphones,96,242,79.0
2026-07-24,Alpha Headphones,107,135,79.0
2026-07-25,Alpha Headphones,136,0,79.0
2026-07-26,Alpha Headphones,87,0,79.0
2026-07-27,Alpha Headphones,76,513,79.0
2026-07-28,Alpha Headphones,76,437,79.0
2026-07-29,Alpha Headphones,91,346,79.0
2026-07-30,Alpha Headphones,98,248,79.0
2026-07-31,Alpha Headphones,96,152,79.0
2026-08-01,Alpha Headphones,128,24,79.0
2026-08-02,Alpha Headphones,86,0,79.0
2026-08-03,Alpha Headphones,90,514,79.0
2026-08-04,Alpha Headphones,91,423,79.0
2026-08-05,Alpha Headphones,95,328,79.0
2026-08-06,Alpha Headphones,97,231,79.0
2026-08-07,Alpha Headphones,108,123,79.0
2026-08-08,Alpha Headphones,110,13,79.0
2026-08-09,Alpha Headphones,100,0,79.0
2026-08-10,Alpha Headphones,78,514,79.0
2026-08-11,Alpha Headphones,93,421,79.0
2026-08-12,Alpha Headphones,92,329,79.0
2026-08-13,Alpha Headphones,98,231,79.0
2026-08-14,Alpha Headphones,106,125,79.0
2026-08-15,Alpha Headphones,117,8,79.0
2026-08-16,Alpha Headphones,101,0,79.0
2026-08-17,Alpha Headphones,74,515,79.0
2026-08-18,Alpha Headphones,92,423,79.0
2026-08-19,Alpha Headphones,93,330,79.0
2026-08-20,Alpha Headphones,84,246,79.0
2026-08-21,Alpha Headphones,106,140,79.0
2026-08-22,Alpha Headphones,123,17,79.0
2026-08-23,Alpha Headphones,90,0,79.0
2026-08-24,Alpha Headphones,87,516,79.0
2026-08-25,Alpha Headphones,79,437,79.0
2026-08-26,Alpha Headphones,76,361,79.0
2026-08-27,Alpha Headphones,84,277,79.0
2026-08-28,Alpha Headphones,95,182,79.0
2026-08-29,Alpha Headphones,136,46,79.0
2026-08-30,Alpha Headphones,105,0,79.0
2026-08-31,Alpha Headphones,77,517,79.0
2026-09-01,Alpha Headphones,87,430,79.0
2026-09-02,Alpha Headphones,84,346,79.0
2026-09-03,Alpha Headphones,101,245,79.0
2026-09-04,Alpha Headphones,100,145,79.0
2026-09-05,Alpha Headphones,138,7,79.0
2026-09-06,Alpha Headphones,86,0,79.0
2026-09-07,Alpha Headphones,91,517,79.0
2026-09-08,Alpha Headphones,78,439,79.0
2026-09-09,Alpha Headphones,96,343,79.0
2026-09-10,Alpha Headphones,85,258,79.0
2026-09-11,Alpha Headphones,90,168,79.0
2026-09-12,Alpha Headphones,123,45,79.0
2026-09-13,Alpha Headphones,100,0,79.0
2026-09-14,Alpha Headphones,78,518,79.0
2026-09-15,Alpha Headphones,87,431,79.0
2026-09-16,Alpha Headphones,87,344,79.0
2025-09-18,Beta Charger,143,0,24.0
2025-09-19,Beta Charger,178,0,24.0
2025-09-20,Beta Charger,92,0,24.0
2025-09-21,Beta Charger,96,0,24.0
2025-09-22,Beta Charger,136,840,24.0
2025-09-23,Beta Charger,173,667,24.0
2025-09-24,Beta Charger,152,515,24.0
2025-09-25,Beta Charger,155,360,24.0
2025-09-26,Beta Charger,185,175,24.0
2025-09-27,Beta Charger,102,73,24.0
2025-09-28,Beta Charger,88,0,24.0
2025-09-29,Beta Charger,138,839,24.0
2025-09-30,Beta Charger,163,676,24.0
2025-10-01,Beta Charger,145,531,24.0
2025-10-02,Beta Charger,140,391,24.0
2025-10-03,Beta Charger,189,202,24.0
2025-10-04,Beta Charger,103,99,24.0
2025-10-05,Beta Charger,86,13,24.0
2025-10-06,Beta Charger,147,838,24.0
2025-10-07,Beta Charger,153,685,24.0
2025-10-08,Beta Charger,147,538,24.0
2025-10-09,Beta Charger,139,399,24.0
2025-10-10,Beta Charger,159,240,24.0
2025-10-11,Beta Charger,96,144,24.0
2025-10-12,Beta Charger,100,44,24.0
2025-10-13,Beta Charger,160,837,24.0
2025-10-14,Beta Charger,171,666,24.0
2025-10-15,Beta Charger,155,511,24.0
2025-10-16,Beta Charger,139,372,24.0
2025-10-17,Beta Charger,176,196,24.0
2025-10-18,Beta Charger,86,110,24.0
2025-10-19,Beta Charger,86,24,24.0
2025-10-20,Beta Charger,151,836,24.0
2025-10-21,Beta Charger,159,677,24.0
2025-10-22,Beta Charger,156,521,24.0
2025-10-23,Beta Charger,145,376,24.0
2025-10-24,Beta Charger,172,204,24.0
2025-10-25,Beta Charger,91,113,24.0
2025-10-26,Beta Charger,90,23,24.0
2025-10-27,Beta Charger,168,836,24.0
2025-10-28,Beta Charger,167,669,24.0
2025-10-29,Beta Charger,138,531,24.0
2025-10-30,Beta Charger,132,399,24.0
2025-10-31,Beta Charger,175,224,24.0
2025-11-01,Beta Charger,101,123,24.0
2025-11-02,Beta Charger,87,36,24.0
2025-11-03,Beta Charger,165,835,24.0
2025-11-04,Beta Charger,165,670,24.0
2025-11-05,Beta Charger,156,514,24.0
2025-11-06,Beta Charger,136,378,24.0
2025-11-07,Beta Charger,161,217,24.0
2025-11-08,Beta Charger,86,131,24.0
2025-11-09,Beta Charger,85,46,24.0
2025-11-10,Beta Charger,152,834,24.0
2025-11-11,Beta Charger,169,665,24.0
2025-11-12,Beta Charger,135,530,24.0
2025-11-13,Beta Charger,143,387,24.0
2025-11-14,Beta Charger,179,208,24.0
2025-11-15,Beta Charger,90,118,24.0
2025-11-16,Beta Charger,95,23,24.0
2025-11-17,Beta Charger,153,833,24.0
2025-11-18,Beta Charger,146,687,24.0
2025-11-19,Beta Charger,156,531,24.0
2025-11-20,Beta Charger,128,403,24.0
2025-11-21,Beta Charger,184,219,24.0
2025-11-22,Beta Charger,103,116,24.0
2025-11-23,Beta Charger,82,34,24.0
2025-11-24,Beta Charger,150,832,24.0
2025-11-25,Beta Charger,143,689,24.0
2025-11-26,Beta Charger,166,523,24.0
2025-11-27,Beta Charger,146,377,24.0
2025-11-28,Beta Charger,495,0,24.0
2025-11-29,Beta Charger,91,0,24.0
2025-11-30,Beta Charger,98,0,24.0
2025-12-01,Beta Charger,151,831,24.0
2025-12-02,Beta Charger,166,665,24.0
2025-12-03,Beta Charger,156,509,24.0
2025-12-04,Beta Charger,162,347,24.0
2025-12-05,Beta Charger,177,170,24.0
2025-12-06,Beta Charger,107,63,24.0
2025-12-07,Beta Charger,98,0,24.0
2025-12-08,Beta Charger,156,831,24.0
2025-12-09,Beta Charger,163,668,24.0
2025-12-10,Beta Charger,150,518,24.0
2025-12-11,Beta Charger,157,361,24.0
2025-12-12,Beta Charger,175,186,24.0
2025-12-13,Beta Charger,106,80,24.0
2025-12-14,Beta Charger,95,0,24.0
2025-12-15,Beta Charger,151,830,24.0
2025-12-16,Beta Charger,146,684,24.0
2025-12-17,Beta Charger,140,544,24.0
2025-12-18,Beta Charger,150,394,24.0
2025-12-19,Beta Charger,184,210,24.0
2025-12-20,Beta Charger,97,113,24.0
2025-12-21,Beta Charger,93,20,24.0
2025-12-22,Beta Charger,144,829,24.0
2025-12-23,Beta Charger,139,690,24.0
2025-12-24,Beta Charger,142,548,24.0
2025-12-25,Beta Charger,137,411,24.0
2025-12-26,Beta Charger,165,246,24.0
2025-12-27,Beta Charger,98,148,24.0
2025-12-28,Beta Charger,82,66,24.0
2025-12-29,Beta Charger,142,828,24.0
2025-12-30,Beta Charger,162,666,24.0
2025-12-31,Beta Charger,156,510,24.0
2026-01-01,Beta Charger,130,380,24.0
2026-01-02,Beta Charger,169,211,24.0
2026-01-03,Beta Charger,98,113,24.0
2026-01-04,Beta Charger,88,25,24.0
2026-01-05,Beta Charger,141,827,24.0
2026-01-06,Beta Charger,151,676,24.0
2026-01-07,Beta Charger,163,513,24.0
2026-01-08,Beta Charger,148,365,24.0
2026-01-09,Beta Charger,180,185,24.0
2026-01-10,Beta Charger,105,80,24.0
2026-01-11,Beta Charger,95,0,24.0
2026-01-12,Beta Charger,147,827,24.0
2026-01-13,Beta Charger,136,691,24.0
2026-01-14,Beta Charger,143,548,24.0
2026-01-15,Beta Charger,153,395,24.0
2026-01-16,Beta Charger,187,208,24.0
2026-01-17,Beta Charger,107,101,24.0
2026-01-18,Beta Charger,88,13,24.0
2026-01-19,Beta Charger,160,826,24.0
2026-01-20,Beta Charger,156,670,24.0
2026-01-21,Beta Charger,152,518,24.0
2026-01-22,Beta Charger,135,383,24.0
2026-01-23,Beta Charger,160,223,24.0
2026-01-24,Beta Charger,95,128,24.0
2026-01-25,Beta Charger,79,49,24.0
2026-01-26,Beta Charger,145,825,24.0
2026-01-27,Beta Charger,161,664,24.0
2026-01-28,Beta Charger,145,519,24.0
2026-01-29,Beta Charger,133,386,24.0
2026-01-30,Beta Charger,170,216,24.0
2026-01-31,Beta Charger,88,128,24.0
2026-02-01,Beta Charger,92,36,24.0
2026-02-02,Beta Charger,134,824,24.0
2026-02-03,Beta Charger,150,674,24.0
2026-02-04,Beta Charger,151,523,24.0
2026-02-05,Beta Charger,128,395,24.0
2026-02-06,Beta Charger,177,218,24.0
2026-02-07,Beta Charger,88,130,24.0
2026-02-08,Beta Charger,88,42,24.0
2026-02-09,Beta Charger,135,823,24.0
2026-02-10,Beta Charger,149,674,24.0
2026-02-11,Beta Charger,138,536,24.0
2026-02-12,Beta Charger,138,398,24.0
2026-02-13,Beta Charger,182,216,24.0
2026-02-14,Beta Charger,93,123,24.0
2026-02-15,Beta Charger,95,28,24.0
2026-02-16,Beta Charger,163,823,24.0
2026-02-17,Beta Charger,144,679,24.0
2026-02-18,Beta Charger,133,546,24.0
2026-02-19,Beta Charger,127,419,24.0
2026-02-20,Beta Charger,173,246,24.0
2026-02-21,Beta Charger,107,139,24.0
2026-02-22,Beta Charger,86,53,24.0
2026-02-23,Beta Charger,156,822,24.0
2026-02-24,Beta Charger,164,658,24.0
2026-02-25,Beta Charger,153,505,24.0
2026-02-26,Beta Charger,153,352,24.0
2026-02-27,Beta Charger,190,162,24.0
2026-02-28,Beta Charger,89,73,24.0
2026-03-01,Beta Charger,79,0,24.0
2026-03-02,Beta Charger,138,821,24.0
2026-03-03,Beta Charger,139,682,24.0
2026-03-04,Beta Charger,154,528,24.0
2026-03-05,Beta Charger,146,382,24.0
2026-03-06,Beta Charger,159,223,24.0
2026-03-07,Beta Charger,100,123,24.0
2026-03-08,Beta Charger,95,28,24.0
2026-03-09,Beta Charger,138,820,24.0
2026-03-10,Beta Charger,157,663,24.0
2026-03-11,Beta Charger,156,507,24.0
2026-03-12,Beta Charger,130,377,24.0
2026-03-13,Beta Charger,184,193,24.0
2026-03-14,Beta Charger,106,87,24.0
2026-03-15,Beta Charger,80,7,24.0
2026-03-16,Beta Charger,133,819,24.0
2026-03-17,Beta Charger,146,673,24.0
2026-03-18,Beta Charger,154,519,24.0
2026-03-19,Beta Charger,159,360,24.0
2026-03-20,Beta Charger,166,194,24.0
2026-03-21,Beta Charger,100,94,24.0
2026-03-22,Beta Charger,80,14,24.0
2026-03-23,Beta Charger,157,819,24.0
2026-03-24,Beta Charger,157,662,24.0
2026-03-25,Beta Charger,133,529,24.0
2026-03-26,Beta Charger,153,376,24.0
2026-03-27,Beta Charger,185,191,24.0
2026-03-28,Beta Charger,98,93,24.0
2026-03-29,Beta Charger,81,12,24.0
2026-03-30,Beta Charger,167,818,24.0
2026-03-31,Beta Charger,163,655,24.0
2026-04-01,Beta Charger,142,513,24.0
2026-04-02,Beta Charger,28,485,24.0
2026-04-03,Beta Charger,165,320,24.0
2026-04-04,Beta Charger,95,225,24.0
2026-04-05,Beta Charger,85,140,24.0
2026-04-06,Beta Charger,162,817,24.0
2026-04-07,Beta Charger,164,653,24.0
2026-04-08,Beta Charger,133,520,24.0
2026-04-09,Beta Charger,159,361,24.0
2026-04-10,Beta Charger,176,185,24.0
2026-04-11,Beta Charger,103,82,24.0
2026-04-12,Beta Charger,93,0,24.0
2026-04-13,Beta Charger,147,816,24.0
2026-04-14,Beta Charger,161,655,24.0
2026-04-15,Beta Charger,163,492,24.0
2026-04-16,Beta Charger,135,357,24.0
2026-04-17,Beta Charger,183,174,24.0
2026-04-18,Beta Charger,96,78,24.0
2026-04-19,Beta Charger,88,0,24.0
2026-04-20,Beta Charger,147,815,24.0
2026-04-21,Beta Charger,161,654,24.0
2026-04-22,Beta Charger,139,515,24.0
2026-04-23,Beta Charger,155,360,24.0
2026-04-24,Beta Charger,183,177,24.0
2026-04-25,Beta Charger,86,91,24.0
2026-04-26,Beta Charger,96,0,24.0
2026-04-27,Beta Charger,140,815,24.0
2026-04-28,Beta Charger,151,664,24.0
2026-04-29,Beta Charger,150,514,24.0
2026-04-30,Beta Charger,138,376,24.0
2026-05-01,Beta Charger,150,226,24.0
2026-05-02,Beta Charger,103,123,24.0
2026-05-03,Beta Charger,81,42,24.0
2026-05-04,Beta Charger,139,814,24.0
2026-05-05,Beta Charger,163,651,24.0
2026-05-06,Beta Charger,141,510,24.0
2026-05-07,Beta Charger,155,355,24.0
2026-05-08,Beta Charger,178,177,24.0
2026-05-09,Beta Charger,90,87,24.0
2026-05-10,Beta Charger,78,9,24.0
2026-05-11,Beta Charger,165,813,24.0
2026-05-12,Beta Charger,137,676,24.0
